Device Name,Energy Star,RoHS,Recycled %,Easy Disassemble,EPEAT Rank,Source Link
"1258H V7, FusionServer 1258H V7",0,1,0,0,1,https://www.epeat.net/product-details/ad5c19b962764260b412a67b62b7ce4d
"1288H V6, FusionServer 1288H V6",0,1,0,0,1,https://www.epeat.net/product-details/bd5c588b4275431ea7d6009d9ea93e78
1288H V7， FusionServer 1288H V7,0,1,0,0,1,https://www.epeat.net/product-details/b48f6ea6a8294f1396d07444b5cfb545
2258 V7，FusionServer 2258 V7,0,1,0,0,1,https://www.epeat.net/product-details/9d87e07739664773983cde957b3db088
"2258H V7, FusionServer 2258H V7",0,1,0,0,1,https://www.epeat.net/product-details/b3ce6b894c2e42bba50021694691a055
"2288 V7, FusionServer 2288 V7",0,1,0,0,1,https://www.epeat.net/product-details/af7973e2d0774879b5fb3e3c525869c5
"2288 V8, FusionServer 2288 V8",0,1,0,0,1,https://www.epeat.net/product-details/c69ea15b1bf340f4a0ec302f4a9e0745
2288H V6，FusionServer 2288H V6,0,1,0,0,1,https://www.epeat.net/product-details/5439b5aa641842e99314f82c6d19d9d9
"2288H V7, FusionServer 2288H V7",0,1,0,0,1,https://www.epeat.net/product-details/af413550ff624f1eb198c01c62ebf9d6
2488H V6，FusionServer 2488H V6,0,1,0,0,1,https://www.epeat.net/product-details/0cdf2e13a17a4afcab0251a7486244e6
"2488H V7, FusionServer 2488H V7",0,1,0,0,1,https://www.epeat.net/product-details/44f5fd442f8a4bf580a48090faf90c2a
24BL550J,0,1,0,0,1,https://www.epeat.net/product-details/378509609cc2402981f81e5471fe9445
24BN650U,0,1,0,0,1,https://www.epeat.net/product-details/cc53a0c1b05548b0bf78b1711a7f8fc3
"5288 V6, FusionServer 5288 V6",0,1,0,0,1,https://www.epeat.net/product-details/024e90e2ff46456ba88c35ee3115b67b
5288 V7， FusionServer 5288 V7,0,1,0,0,1,https://www.epeat.net/product-details/60acd3589f5b4dc4a3d106bc80c915b6
5885H V6，FusionServer 5885H V6,0,1,0,0,1,https://www.epeat.net/product-details/78eda40e507b4e7bb8e0359e2ccd115b
5885H V7，FusionServer 5885H V7,0,1,0,0,1,https://www.epeat.net/product-details/a80224deca574f38ba5f670d6f49665c
730 EX Plus Scan Station,0,1,0,0,2,https://www.epeat.net/product-details/e26aee6766f74f8d941c022b59f42bff
A14-11M,0,1,0,0,3,https://www.epeat.net/product-details/b1b74ff9782b4cc7b33a92f0e83b7126
A14-11M,0,1,0,0,3,https://www.epeat.net/product-details/bb1e665192c0412f8b7c09e426047861
A14-11MT,0,1,0,0,3,https://www.epeat.net/product-details/2f77885a6ec34bdba045a40ae8eac44f
A14-11MT,0,1,0,0,3,https://www.epeat.net/product-details/cc4954e641f3416abb61b0712b2aefbe
A14-51M,0,1,0,0,2,https://www.epeat.net/product-details/e9bda2d1190645c28dd80c954070937a
A14-51M,0,1,0,0,2,https://www.epeat.net/product-details/f1d95d918b2a4009a5c3335e6f65fc63
A14-51P,0,1,0,0,2,https://www.epeat.net/product-details/847ac53aba774523af32ceec937964f7
A14-51P,0,1,0,0,2,https://www.epeat.net/product-details/828c306c0d81496287e2a49c8c0e11f1
A14-52M,0,1,0,0,3,https://www.epeat.net/product-details/bf65d9e711ef40e7ac4dce1481af66f7
A14-52M,0,1,0,0,3,https://www.epeat.net/product-details/c73b746038f44c90aca4b0f41cae37fe
A14-52M,0,1,0,0,3,https://www.epeat.net/product-details/487b737c7cc3427884914e02f3f79532
A14-52M,0,1,0,0,3,https://www.epeat.net/product-details/e6550ae9c397425bb688364e9f1eb7a9
A14-52MT,0,1,0,0,3,https://www.epeat.net/product-details/a775976dc4564a5eaf9a9df847cbf9f5
A14-52MT,0,1,0,0,3,https://www.epeat.net/product-details/433851677c64486fbd276b139a0edf94
A14-53M,0,1,0,0,3,https://www.epeat.net/product-details/ae316724c7d34e4ab81b64ac7313d35c
A14-53M,0,1,0,0,3,https://www.epeat.net/product-details/de2af5761cf547a2bdb50d27a7e80609
A14-53MT,0,1,0,0,3,https://www.epeat.net/product-details/a128225ec8e54018a732cad156610487
A14-53MT,0,1,0,0,3,https://www.epeat.net/product-details/44a0d6424c9f4de79e77851c6849e070
A14-61M,0,1,0,0,3,https://www.epeat.net/product-details/0a35806cef704cda818bd797a3c1636f
A14-61M,0,1,0,0,3,https://www.epeat.net/product-details/c50fc255ce2146f096e34fd61ca6b480
A14-61MT,0,1,0,0,3,https://www.epeat.net/product-details/61e786fb17344cc982d5b91c714e8635
A14-61MT,0,1,0,0,3,https://www.epeat.net/product-details/6aeb87ba7e6549e886db8b6ddd6dc4fe
A140,0,1,0,0,1,https://www.epeat.net/product-details/632e37063f5c42eaa13f2b81b0a8310a
A15-51M,0,1,0,0,2,https://www.epeat.net/product-details/140140898a3849e38096b82ed79ab09c
A15-51M,0,1,0,0,2,https://www.epeat.net/product-details/4f80717b4b9340cd8842f88e03118ab0
A15-51MT,0,1,0,0,2,https://www.epeat.net/product-details/e650803a52384a74aa27010be5375390
A15-51MT,0,1,0,0,2,https://www.epeat.net/product-details/bb7095abb2c64a6c8c986ef61c837d55
A15-51P,0,1,0,0,2,https://www.epeat.net/product-details/937c4711e2f94e71b1f60b0e14015f74
A15-51P,0,1,0,0,2,https://www.epeat.net/product-details/a78bb239c9a8489682ca9f643ea6c100
A16-11M,0,1,0,0,3,https://www.epeat.net/product-details/00d30d94ad024dcdb8901a38fe8b33ab
A16-11M,0,1,0,0,3,https://www.epeat.net/product-details/c091eb35125b4e7fa2ad2b13e458f33b
A16-11MT,0,1,0,0,3,https://www.epeat.net/product-details/50b2ce0a189541c1852fc11759c7119b
A16-11MT,0,1,0,0,3,https://www.epeat.net/product-details/42a63ae6930f4bbb8522f70e7b3889d4
A16-52M,0,1,0,0,3,https://www.epeat.net/product-details/505b951a2e5e4fa98c4a4d341c1a1ee3
A16-52M,0,1,0,0,3,https://www.epeat.net/product-details/013a8b398227468db0a67c8bdd906271
A16-52MT,0,1,0,0,3,https://www.epeat.net/product-details/5bc5d0f7d73147629d683a21e94b4c04
A16-52MT,0,1,0,0,3,https://www.epeat.net/product-details/6609cad213274a5c819c8de37ea0d11a
A16-61M,0,1,0,0,3,https://www.epeat.net/product-details/7574f42aab2348599fd3319d5af0d3e1
A16-61M,0,1,0,0,3,https://www.epeat.net/product-details/2f511771f38b4b92954b5cc246e6459e
A16-61MT,0,1,0,0,3,https://www.epeat.net/product-details/04d6e3a23f6d4a8ab3bd0958fc18a014
A16-61MT,0,1,0,0,3,https://www.epeat.net/product-details/66ff3173ba724fadabd6aee7bbc87177
A16-71M,0,1,0,0,3,https://www.epeat.net/product-details/0246fb23631c438fa2993d30e119a3c8
A16-71M,0,1,0,0,3,https://www.epeat.net/product-details/52bf614cdf294edfbcb3023d9da94b18
A17-51M,0,1,0,0,2,https://www.epeat.net/product-details/04a9c252dca9410d895755518fa3839f
A517-58M,0,1,0,0,2,https://www.epeat.net/product-details/9aa5c972969f48c4bc0bd161eb4cfa55
AccurioPress 7120,0,1,0,0,2,https://www.epeat.net/product-details/981f5486968a449ca6956232708fae47
AccurioPress 7120,0,1,0,0,2,https://www.epeat.net/product-details/313e825ea5304b19ab88d7f410e870c5
AccurioPress 7136,0,1,0,0,2,https://www.epeat.net/product-details/851e1909ebe0479e94a2da752f707cca
AccurioPress 7136,0,1,0,0,2,https://www.epeat.net/product-details/2a85e178f81949b38fc56d29a39152d3
AccurioPress 7136P,0,1,0,0,2,https://www.epeat.net/product-details/598d3edb2bbd4c239cf9438b06d9640c
AccurioPress 7136P,0,1,0,0,2,https://www.epeat.net/product-details/f5f1db4ac9794acaa7be003ad1cc3a2e
AccurioPress C12000,0,1,0,0,3,https://www.epeat.net/product-details/4ec05e9bfbf64a198091e9255f8e712a
AccurioPress C12000,0,1,0,0,2,https://www.epeat.net/product-details/3fa36ac802554e50956eea1e165ceb42
AccurioPress C14000,0,1,0,0,3,https://www.epeat.net/product-details/47a7264879e149c9a36f4f923785f090
AccurioPress C14000,0,1,0,0,2,https://www.epeat.net/product-details/9e93677bad7c46f3bfaae85b52b22ef9
AccurioPress C4070,0,1,0,0,3,https://www.epeat.net/product-details/2bd8fe26718e48c3aeb2df14f7a80ffd
AccurioPress C4070,0,1,0,0,2,https://www.epeat.net/product-details/42049c26df614f6586c2a5cabb202cd7
AccurioPress C4080,0,1,0,0,3,https://www.epeat.net/product-details/0f609f0640a842bdb93dc8c1cfea802e
AccurioPress C4080,0,1,0,0,2,https://www.epeat.net/product-details/1db1c30c64144819be2067c83162dbdc
AccurioPress C7090,0,1,0,0,3,https://www.epeat.net/product-details/f606d1ceff75466e9d3917eea866ba07
AccurioPress C7090,0,1,0,0,2,https://www.epeat.net/product-details/04899c89a47b4c48afec4815f65bdb09
AccurioPress C7100,0,1,0,0,3,https://www.epeat.net/product-details/ca9dfaee546f43b88728e6658de74e03
