Model_Original,Brand,Year_Extracted,Screen_Size_Extracted,Weight_kg,Energy_kWh_Year,Repair_Score,Eco_Score_Target
13-inch MacBook Air (M1 CPU) 256GB - 2020,Apple,2020.0,14.0,4.1344562068965525,30.0,6.0,61.120000000000005
13-inch MacBook Air (M1 CPU) 512GB - 2020,Apple,2020.0,14.0,4.1344562068965525,30.0,6.0,59.519999999999996
13-inch MacBook Air with Retina display (1.1GHz dual-core CPU) 256GB - 2020,Apple,2020.0,14.0,4.1344562068965525,30.0,6.0,60.08
13-inch MacBook Air with Retina display (1.1GHz quad-core CPU) 512GB - 2020,Apple,2020.0,14.0,4.1344562068965525,30.0,6.0,57.84
13-inch MacBook Pro (1.4GHz quad-core CPU) 256GB - 2020,Apple,2020.0,14.0,4.1344562068965525,30.0,6.0,56.64
13-inch MacBook Pro (2.0GHz quad-core CPU) 512GB - 2020,Apple,2020.0,14.0,4.1344562068965525,30.0,6.0,53.92
13-inch MacBook Pro (Four Thunderbolt 3 ports) 1TB - 2020,Apple,2020.0,14.0,4.1344562068965525,30.0,6.0,50.16
13-inch MacBook Pro (Four Thunderbolt 3 ports) 512GB - 2020,Apple,2020.0,14.0,4.1344562068965525,30.0,6.0,53.92
13-inch MacBook Pro (M1 CPU) 256GB - 2020,Apple,2020.0,14.0,4.1344562068965525,30.0,6.0,59.2
13-inch MacBook Pro (M1 CPU) 512GB - 2020,Apple,2020.0,14.0,4.1344562068965525,30.0,6.0,57.44
13-inch MacBook Pro (Two Thunderbolt 3 ports) 256GB - 2020,Apple,2020.0,14.0,4.1344562068965525,30.0,6.0,57.040000000000006
13-inch MacBook Pro (Two Thunderbolt 3 ports) 512GB - 2020,Apple,2020.0,14.0,4.1344562068965525,30.0,6.0,55.36
13-inch MacBook Pro with Retina display (2.7GHz CPU) 128GB - 2015,Apple,2015.0,14.0,4.1344562068965525,30.0,6.0,38.88
14-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 1TB - 2021,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,55.49
14-inch MacBook Pro (M1 Pro 8-core CPU and 14-core GPU) 512GB - 2021,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,58.370000000000005
14-inch MacBook Pro with 64GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,60.61
15-inch MacBook Pro (2.3GHz 8-core CPU) 512GB - 2019,Apple,2019.0,14.0,4.1344562068965525,30.0,6.0,43.2
15-inch MacBook Pro (2.6GHz 6-core CPU) 256GB - 2019,Apple,2019.0,14.0,4.1344562068965525,30.0,6.0,45.839999999999996
15-inch MacBook Pro with Retina display (2.2GHz CPU) 256GB - 2015,Apple,2015.0,14.0,4.1344562068965525,30.0,6.0,34.0
16-inch MacBook Pro (2.3GHz 8-core CPU) 1TB - 2019,Apple,2019.0,14.0,4.1344562068965525,30.0,6.0,36.8
16-inch MacBook Pro (2.6GHz 6-core CPU) 512GB - 2019,Apple,2019.0,14.0,4.1344562068965525,30.0,6.0,42.480000000000004
16-inch MacBook Pro (M1 Max 10-core CPU and 32-core GPU) 1TB - 2021,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,48.45
16-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 1TB - 2021,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,49.489999999999995
16-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 512GB - 2021,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,52.13
16-inch MacBook Pro with 64GB,Apple,2021.0,14.0,4.1344562068965525,9.833333333333334,6.0,56.05
21.5-inch iMac with Retina 4K display (3.0GHz 6-core CPU) 1TB - 2019,Apple,2019.0,14.0,4.1344562068965525,30.0,6.0,34.0
