Device_Name,Energy_Consumption_kWh,Recycled_Percentage,RoHS_Compliant,Screen_Size_Inch,Weight_Kg,RAM_GB,Storage_GB,CPU_Score,Eco_Score
10DQD \xe2\x80\x93 Tiny-in-One 23,26.49025,0.0,1.0,23.0,7.5,8.0,256.0,2,1.0
11 inch Tablet PC,17.86,0.0,1.0,11.0,0.858,8.0,256.0,2,2.0
"1258H V7, FusionServer 1258H V7",26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
"1288H V6, FusionServer 1288H V6",26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
1288H V7， FusionServer 1288H V7,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
13-inch MacBook Air (M1 CPU) 256GB - 2020,26.49025,0.0,1.0,13.0,1.5,8.0,256.0,1,2.0
13-inch MacBook Air (M1 CPU) 512GB - 2020,26.49025,0.0,1.0,13.0,1.5,8.0,512.0,1,2.0
13-inch MacBook Air with Retina display (1.1GHz dual-core CPU) 256GB - 2020,26.49025,0.0,1.0,13.0,1.5,8.0,256.0,2,2.0
13-inch MacBook Air with Retina display (1.1GHz quad-core CPU) 512GB - 2020,26.49025,0.0,1.0,13.0,1.5,8.0,512.0,2,2.0
13-inch MacBook Pro (1.4GHz quad-core CPU) 256GB - 2020,26.49025,0.0,1.0,13.0,1.5,8.0,256.0,2,2.0
13-inch MacBook Pro (2.0GHz quad-core CPU) 512GB - 2020,26.49025,0.0,1.0,13.0,1.5,8.0,512.0,2,1.0
13-inch MacBook Pro (Four Thunderbolt 3 ports) 1TB - 2020,26.49025,0.0,1.0,13.0,1.5,8.0,1024.0,2,1.0
13-inch MacBook Pro (Four Thunderbolt 3 ports) 512GB - 2020,26.49025,0.0,1.0,13.0,1.5,8.0,512.0,2,1.0
13-inch MacBook Pro (M1 CPU) 256GB - 2020,26.49025,0.0,1.0,13.0,1.5,8.0,256.0,1,2.0
13-inch MacBook Pro (M1 CPU) 512GB - 2020,26.49025,0.0,1.0,13.0,1.5,8.0,512.0,1,2.0
13-inch MacBook Pro (Two Thunderbolt 3 ports) 256GB - 2020,26.49025,0.0,1.0,13.0,1.5,8.0,256.0,2,2.0
13-inch MacBook Pro (Two Thunderbolt 3 ports) 512GB - 2020,26.49025,0.0,1.0,13.0,1.5,8.0,512.0,2,2.0
13-inch MacBook Pro with Retina display (2.7GHz CPU) 128GB - 2015,26.49025,0.0,1.0,13.0,1.5,8.0,128.0,2,1.0
14 inch 4G LTE Laptop PC,12.48,0.0,1.0,14.0,1.4,8.0,256.0,2,2.0
14-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 1TB - 2021,26.49025,0.0,1.0,14.0,1.5,8.0,1024.0,1,1.0
14-inch MacBook Pro (M1 Pro 8-core CPU and 14-core GPU) 512GB - 2021,26.49025,0.0,1.0,14.0,1.5,8.0,512.0,1,1.0
14-inch MacBook Pro with 64GB,26.49025,0.0,1.0,14.0,1.5,8.0,64.0,2,2.0
14s Laptop PC ENERGY STAR,19.93,0.0,1.0,14.0,1.6,8.0,256.0,2,2.0
15-inch MacBook Pro (2.3GHz 8-core CPU) 512GB - 2019,26.49025,0.0,1.0,15.0,1.5,8.0,512.0,2,1.0
15-inch MacBook Pro (2.6GHz 6-core CPU) 256GB - 2019,26.49025,0.0,1.0,15.0,1.5,8.0,256.0,2,1.0
15-inch MacBook Pro with Retina display (2.2GHz CPU) 256GB - 2015,26.49025,0.0,1.0,15.0,1.5,8.0,256.0,2,1.0
15 Laptop PC,18.54,0.0,1.0,15.6,2.1,8.0,256.0,2,2.0
15 Laptop PC ENERGY STAR,19.76,0.0,1.0,15.6,2.1,8.0,256.0,2,2.0
16-inch MacBook Pro (2.3GHz 8-core CPU) 1TB - 2019,26.49025,0.0,1.0,16.0,1.5,8.0,1024.0,2,1.0
16-inch MacBook Pro (2.6GHz 6-core CPU) 512GB - 2019,26.49025,0.0,1.0,16.0,1.5,8.0,512.0,2,1.0
16-inch MacBook Pro (M1 Max 10-core CPU and 32-core GPU) 1TB - 2021,26.49025,0.0,1.0,16.0,1.5,8.0,1024.0,1,1.0
16-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 1TB - 2021,26.49025,0.0,1.0,16.0,1.5,8.0,1024.0,1,1.0
16-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 512GB - 2021,26.49025,0.0,1.0,16.0,1.5,8.0,512.0,1,1.0
16-inch MacBook Pro with 64GB,26.49025,0.0,1.0,16.0,1.5,8.0,64.0,2,1.0
17 Laptop PC,23.24,0.0,1.0,17.3,2.48,8.0,256.0,2,1.0
21.5-inch iMac with Retina 4K display (3.0GHz 6-core CPU) 1TB - 2019,26.49025,0.0,1.0,21.5,1.5,8.0,1024.0,2,1.0
21.5-inch iMac with Retina 4K display (3.6GHz quad-core CPU) 1TB - 2019,26.49025,0.0,1.0,21.5,1.5,8.0,1024.0,2,1.0
"2258H V7, FusionServer 2258H V7",26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
2258 V7，FusionServer 2258 V7,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
2288H V6，FusionServer 2288H V6,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
"2288H V7, FusionServer 2288H V7",26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
"2288 V7, FusionServer 2288 V7",26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
"2288 V8, FusionServer 2288 V8",26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
2488H V6，FusionServer 2488H V6,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
"2488H V7, FusionServer 2488H V7",26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
24BL550J,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
24BN650U,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
24-inch iMac with 4.5K Retina display (M1 CPU and 7-core GPU) 256GB - 2021,26.49025,0.0,1.0,24.0,1.5,8.0,256.0,1,1.0
24-inch iMac with 4.5K Retina display (M1 CPU and 8-core GPU) 256GB - 2021,26.49025,0.0,1.0,24.0,1.5,8.0,256.0,1,1.0
24-inch iMac with 4.5K Retina display (M1 CPU and 8-core GPU) 512GB - 2021,26.49025,0.0,1.0,24.0,1.5,8.0,512.0,1,1.0
250 G9 Notebook PC,17.06,0.0,1.0,15.6,2.2,8.0,256.0,2,2.0
255 G9 Notebook PC,18.81,0.0,1.0,15.6,2.2,8.0,256.0,2,2.0
256 G9 Notebook PC,17.06,0.0,1.0,15.6,2.2,8.0,256.0,2,2.0
27-inch iMac with 5K Retina display (3.0GHz 6-core CPU) 1TB - 2019,26.49025,0.0,1.0,27.0,1.5,8.0,1024.0,2,1.0
27-inch iMac with 5K Retina display (3.1GHz 6-core CPU) 1TB - 2019,26.49025,0.0,1.0,27.0,1.5,8.0,1024.0,2,1.0
27-inch iMac with 5K Retina display (3.1GHz 6-core CPU) 256GB - 2020,26.49025,0.0,1.0,27.0,1.5,8.0,256.0,2,1.0
27-inch iMac with 5K Retina display (3.3GHz 6-core CPU) 512GB - 2020,26.49025,0.0,1.0,27.0,1.5,8.0,512.0,2,1.0
27-inch iMac with 5K Retina display (3.7GHz 6-core CPU) 2TB - 2019,26.49025,0.0,1.0,27.0,1.5,8.0,2048.0,2,1.0
27-inch iMac with 5K Retina display (3.8GHz 8-core CPU) 512GB - 2020,26.49025,0.0,1.0,27.0,1.5,8.0,512.0,2,1.0
470 G8 Notebook PC,16.84,0.0,1.0,17.3,2.49,8.0,256.0,2,1.0
"5288 V6, FusionServer 5288 V6",26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
5288 V7， FusionServer 5288 V7,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
5885H V6，FusionServer 5885H V6,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
5885H V7，FusionServer 5885H V7,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
730 EX Plus Scan Station,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
A140,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,1.0
A14-11M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A14-11M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A14-11MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A14-11MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A14-51M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
A14-51M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
A14-51P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
A14-51P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
A14-52M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A14-52M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
A14-52M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
